   timestep             momentum      temperature  total_potential   total_pressure
       5200      3.808909632e-09     0.1381529719      96374.39062   -0.05184621364
       5300      6.630780369e-09     0.1394263208      96387.34375   -0.05187906325
       5400      2.976824121e-09     0.1409311146       96400.4375    -0.0519121699
       5500      2.723921533e-09     0.1423960477      96413.66406   -0.05194688216
       5600      7.665915902e-09     0.1436341107      96426.98438   -0.05198474601
       5700      4.600866355e-09     0.1455866396      96440.40625   -0.05202088133
       5800      4.686122157e-09     0.1466462463      96453.96875   -0.05206279457
       5900      3.444283525e-09     0.1476558596      96467.40625   -0.05210693181
       6000      4.729717062e-09     0.1491397023      96480.72656   -0.05215091258
       6100      7.448905937e-09     0.1503515393      96493.98438   -0.05219881237
       6200      3.844346619e-09      0.152086392      96507.10156    -0.0522460714
       6300      6.750134673e-09     0.1532808095      96520.17188    -0.0522974655
       6400      5.659970714e-09     0.1552708894      96533.32031   -0.05234630778
       6500      2.298002899e-09     0.1566895843         96546.25   -0.05240035057
       6600      6.685681342e-09     0.1584569067      96559.23438   -0.05245414376
       6700        3.4011709e-09     0.1602520943      96572.07812   -0.05250982568
       6800      7.271372393e-09     0.1616300642        96584.875   -0.05256905407
       6900      6.817355569e-09     0.1628454924        96597.625   -0.05263037235
       7000      7.710326599e-09     0.1643919051      96610.46875   -0.05269060284
       7100      6.216859916e-09     0.1657574177        96623.375   -0.05275207758
       7200      2.992067705e-09      0.167486459      96636.35938   -0.05281240866
       7300      6.672775665e-09     0.1683633327      96649.35938   -0.05287817121
       7400      1.670305227e-09     0.1696924865      96662.49219   -0.05294182897
       7500      3.806228666e-09     0.1711539328       96675.8125   -0.05300464854
       7600       5.06170883e-09     0.1720530391      96689.35938   -0.05306971446
       7700      4.172158174e-09     0.1735161394      96703.14062   -0.05313187093
       7800      7.272670466e-09     0.1752203256      96717.05469   -0.05319273099
       7900      6.795660479e-09     0.1765243411      96731.14062   -0.05325493217
       8000      5.870533393e-09     0.1777068973      96745.59375   -0.05331712961
       8100      4.393313713e-09     0.1790132374        96760.125   -0.05337854102
       8200      4.831528067e-09     0.1803024411        96774.875   -0.05343912914
       8300      3.098096224e-09      0.181084007      96789.85156   -0.05350137129
       8400      3.223457279e-09     0.1822080463        96804.875     -0.053561382
       8500      3.304596152e-09     0.1833200902      96819.92969   -0.05362105742
       8600      6.589270019e-09     0.1828918904      96835.14062   -0.05368736014
       8700      6.966217381e-09      0.183332935      96850.40625   -0.05374851078
       8800      6.137292452e-09     0.1841589659      96865.71875   -0.05380681157
       8900      3.847078656e-09     0.1852133125      96881.07031   -0.05386304855
       9000      7.030648952e-09     0.1866259277      96896.54688   -0.05391705409
       9100      6.334865965e-09     0.1875862181       96912.3125   -0.05397246033
       9200      9.390761058e-09     0.1890176982      96928.20312   -0.05402420089
       9300      3.300110629e-09     0.1903478205      96943.92188   -0.05407661572
       9400      5.587007745e-09     0.1912555546       96959.5625   -0.05413012952
       9500      5.656896285e-09     0.1924341917      96975.34375   -0.05418145284
       9600      7.450350115e-09     0.1928074956      96990.95312    -0.0542364046
       9700      2.467198446e-09      0.194083482      97006.34375   -0.05428589135
       9800      4.724439062e-09     0.1942007244      97021.67188   -0.05434068665
       9900      9.292899783e-09     0.1945688277      97036.67969   -0.05439431965
      10000      7.554360693e-09     0.1949311495       97051.3125   -0.05444857106
      10100      5.388484325e-09     0.1958169341      97065.49219   -0.05450040102
      10200      1.126699978e-08     0.1965572089      97079.35938   -0.05455325171
      10300      4.508275531e-09     0.1976297796      97092.70312   -0.05460453406
      10400      5.781185752e-09      0.199140951      97105.64844   -0.05465344712
      10500      7.177811234e-09     0.2003381997      97118.29688   -0.05470399186
      10600      8.161239684e-09     0.2016281635      97130.57031   -0.05475367606
      10700      5.574371187e-09     0.2035951167      97142.42969    -0.0547997728
      10800      5.596029418e-09     0.2047614157       97153.9375   -0.05484969541
      10900      5.963260996e-09     0.2059461027      97165.03906   -0.05489945412
      11000      6.195491675e-09     0.2080024034      97175.92188    -0.0549445115
      11100      6.892127313e-09     0.2096299231      97186.64062   -0.05499094725
      11200      6.721791568e-09      0.211596936      97197.35938    -0.0550336428
      11300      6.366787098e-09     0.2125178277      97207.79688   -0.05508060008
      11400      2.921103803e-09     0.2140047103      97218.00781   -0.05512335151
      11500      5.635631517e-09     0.2155512869      97228.16406   -0.05516375601
      11600      3.654931913e-09     0.2174261808      97238.23438   -0.05520132184
      11700       6.15007556e-09     0.2186855376      97248.32812   -0.05524140596
      11800      7.366761867e-09      0.220397085          97258.5   -0.05527644232
      11900      8.135625507e-09     0.2220505178      97268.45312   -0.05531008169
      12000      5.555766514e-09     0.2236772776      97278.29688     -0.055342976
      12100      7.400690727e-09     0.2249720693      97288.20312   -0.05537616089
      12200      5.103176548e-09     0.2264670432      97298.21875   -0.05540661141
      12300      6.116316342e-09     0.2279608399      97308.35938   -0.05543500185
      12400      3.346388278e-09     0.2294671685      97318.48438   -0.05546167493
      12500       8.93720653e-09     0.2298582047      97329.05469   -0.05549138039
      12600       8.36036218e-09     0.2305600345      97339.73438   -0.05551714823
      12700      1.180278186e-08     0.2316926867      97350.59375   -0.05553865433
      12800      7.612228181e-09     0.2335720807      97361.39062   -0.05555484816
      12900      3.839817797e-09     0.2346090227        97372.375    -0.0555735752
      13000      2.503889762e-09       0.23556979      97383.54688   -0.05559167266
      13100      5.951057869e-09     0.2364253849       97394.4375   -0.05560943112
      13200      4.873725867e-09     0.2375210077      97405.35938   -0.05562469736
      13300      4.563054823e-09     0.2391268164      97416.21875   -0.05563704669
      13400      7.048052364e-09     0.2409309149      97426.78125   -0.05564830452
      13500      9.565348513e-09     0.2424408644      97437.32812    -0.0556601882
      13600      7.991152629e-09      0.242888391      97447.53906   -0.05567769706
